StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_7_TEXT,Q3,Q3_4_TEXT,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q19_6_TEXT,Q20
1/4/2023 1:33,1/4/2023 1:37,IP Address,96.236.225.92,91,248,False,1/11/2023 1:37,R_3GfD4s2IJvsle2Z,,,,,,,anonymous,EN,,Holiday Park,,Townhouse,,Rent,1-4 years,4 cats 3 long haired one short haired 1 dog husky st bernard mix,Yes,Yes,Yes,At least once a week,At least once a week,I dont mind them they keep the rodents down to a minimum but i get scared with cars flying up and down the roads,I think they scare off certain animals they might bring other animals around with them,My neighborhood might have a few more rodents everywhere. My cats might stop going to the windows and meowing and hissing because they see a strange cat ,No,No,"Trapping, sterilizing, vaccinating, returning to original location",Non-binary / third gender,White,,18-24
1/4/2023 5:09,1/4/2023 5:17,IP Address,108.39.236.9,91,493,False,1/11/2023 5:17,R_2V9LaprwskYUYzj,,,,,,,anonymous,EN,15229,Renton Junction,,Single-family home,,Own/mortgage,Over 10 years,I do not own any pets,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a week,I never interact with free-roaming cats in my neighborhood.,I dont like them.,,,No,Yes,Trapping and taking to a shelter,Female,White,,55 or older
1/4/2023 6:37,1/4/2023 6:40,IP Address,71.60.192.214,91,195,False,1/11/2023 6:40,R_ehDhlxnz5Q7RnO1,,,,,,,anonymous,EN,15068,Logan Ferry Heights,,Single-family home,,Own/mortgage,5-10 years,5,No,No,Yes,At least once a week,Rarely (once every 2-3 months),Indifferent,I’ve had past outdoor cats kill many small animals and birds and a few flying squirrrels,I’m not sure,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,18-24
1/4/2023 7:09,1/4/2023 7:13,IP Address,71.60.103.84,91,259,False,1/11/2023 7:13,R_3F3dynzpmuxqGfH,,,,,,,anonymous,EN,,Holiday Park,,Single-family home,,Rent,Less than one year,2 dogs,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,I never interact with free-roaming cats in my neighborhood.,I see the same 5 on catskill and rainier all the time but they arent people friendly,The liter we bag up is bad for the environment as well as plastics from food containiers. But if my cat is inside id think it has minimal then not much to the outside world,"They would be very upset, its where they live. And i once had a indoor/outdoor cat i had to let him out or he would mark my entire house. He was 4 male unaltered couldnt be due to heart issues, therefore, who would want him in a shelter also my house isnt a toilet. So as long as i let him outside he was happy and wouldnt mark",No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,25-34
1/4/2023 7:14,1/4/2023 7:17,IP Address,75.117.92.65,91,188,False,1/11/2023 7:17,R_3b13V4UHS7sFIpH,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,5-10 years,1 cat,Yes,Yes,Yes,At least once a day,At least once a week,"I feel bad, so I feed one that comes near my house. We have named him jack. ",It keeps the moles and field mice away from my property so I’m not mad about it,"More mice, more moles, more roaming wildlife such as raccoons in garbage and fox",No,Yes,Trapping and taking to a shelter,Female,White,,25-34
1/4/2023 7:15,1/4/2023 7:21,IP Address,174.130.103.11,91,346,False,1/11/2023 7:21,R_DJ0KYlBGjYuMqLn,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Rent,Over 10 years,1 dog.     1 cat,No,Yes,Yes,I never see free-roaming cats in my neighborhood.,I never interact with free-roaming cats in my neighborhood.,,,,No,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,55 or older
1/4/2023 7:38,1/4/2023 7:42,IP Address,71.60.102.154,91,241,False,1/11/2023 7:42,R_2az9k0YRabC4HRM,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,5-10 years,Dog,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,I never interact with free-roaming cats in my neighborhood.,I hate it! They poop in front of my house and it stinks when the temperature is above 70 degrees!,They kill everything! They are truly the worst ,It was change how I felt about living in plum! Plum has a serious problem. There are just too many cats! ,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,Black/African American,,25-34
1/4/2023 7:49,1/4/2023 7:52,IP Address,72.65.224.139,91,223,False,1/11/2023 7:52,R_2cpfvf9gYYG3iif,,,,,,,anonymous,EN,15068,One not mentioned above:,The Ramparts ,Single-family home,,Own/mortgage,5-10 years,I do not own any pets. ,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a week,I never interact with free-roaming cats in my neighborhood.,I’m frustrated by them. They’ve been spraying my bushes and they smell so bad. I’ve tried many techniques to rid the problem and nothing helps.  ,"I believe it helps with overpopulation of chipmunks, mice, and squirrels. ",I’m not sure it would change much. We’ve only got a few free roaming cats. ,No,Yes,Trapping and taking to a shelter,Female,White,,25-34
1/4/2023 7:52,1/4/2023 7:58,IP Address,72.65.224.178,91,366,False,1/11/2023 7:58,R_2dYFFj86g9Y9AQz,,,,,,,anonymous,EN,15239,One not mentioned above:,,Single-family home,,Own/mortgage,Over 10 years,1 dog,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,Rarely (once every 2-3 months),Rarely (once every 2-3 months),I do not mind free roaming cats as long as they are fixed; I actually wish we had one or two more. They help keep down the population of free roaming rodents.,I imagine they help keep mice and moles out of yards and chipmunks out of gardens.,We do t have many so probably not much. I’d be upset if people’s pets were removed.,No,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,45-54
1/4/2023 8:23,1/4/2023 8:25,IP Address,107.122.193.51,91,135,False,1/11/2023 8:25,R_XCdst5jWqrT1enL,,,,,,,anonymous,EN,,Holiday Park,,Single-family home,,Own/mortgage,1-4 years,6 cats all in home ,No,No,Yes,At least once a week,I never interact with free-roaming cats in my neighborhood.,it makes me feel uncomfortable and scared for if my cats got out ,i’m not sure ,i feel more people would leave there houses ,Yes,No,Trapping and taking to a shelter,Female,White,,18-24
1/4/2023 8:50,1/4/2023 8:53,IP Address,73.117.176.80,91,170,False,1/11/2023 8:53,R_yCNlUuUTp7p1tM5,,,,,,,anonymous,EN,15239,Renton Junction,,Single-family home,,Own/mortgage,Over 10 years,2,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,I never interact with free-roaming cats in my neighborhood.,They are annoying. I’m highly allergic to cats and they are always up on my deck,Eating all other animals ,It would be better without them,No,Yes,Trapping and taking to a shelter,Female,White,,35-44
1/4/2023 9:27,1/4/2023 9:32,IP Address,172.58.184.159,91,294,False,1/11/2023 9:32,R_1CfcO4jYpdxgoox,,,,,,,anonymous,EN,15147,East Oakmont,,Single-family home,,Own/mortgage,1-4 years,1 lizard,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,Rarely (once every 2-3 months),I never interact with free-roaming cats in my neighborhood.,I do not feel that cat owners should be permitted to have their cats roam free in the neighborhood because I have enough deer droppings in my yard and don’t need the addition of cats’.,It is their nature to hunt and don’t feel that it is a big personal issue of mine. ,"I think it would help the areas that have this problem. I don’t see many on my street but if I did, I would have a problem with it. ",No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,25-34
1/4/2023 9:39,1/4/2023 9:54,IP Address,174.203.132.232,91,865,False,1/11/2023 9:54,R_Oeyg4UCGYiornjz,,,,,,,anonymous,EN,15239,One not mentioned above:,Frankstown Acres,Single-family home,,Own/mortgage,Over 10 years,"1dog, 2 cats",No,Yes,No,At least once a week,I never interact with free-roaming cats in my neighborhood.,"In the past I had a cat that was older and was having liver issues and was not suppressed to live long.   She began sneaking out and I allowed because she was dying but there was something outside that actually put her issues at ease.   She ended up living as indoor/outdoor for 3 more years.   I have two indoor only cats who have explored my deck but haven't really gone further than that and it's mostly for to safety reasons as there are cars and coyotes and etc.  I do not have any cats that are not ours frequent our yard but i do feel that if we did and they used our yard,  our sandbox, or flower garden, etc as a litter box, I would be upset for too the unsanitary nature but would take necessary steps to avoid.","Our cat that used to be indoor/outdoor definitely killed a chipmunk a month during summer if not more.   She had also brought a mole and a baby bunny once as well.  Depending on the size of the cat colony, i belive it could be detrimental but our single cat or even the few neighbor's cats keep the small rodent population down as it also could cause disease and other home issues. ",I feel there would and could be an overpopulation of rodents if one were to remove all outdoor cats.  ,No,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/4/2023 10:05,1/4/2023 10:09,IP Address,71.60.110.3,91,211,False,1/11/2023 10:09,R_2XbozcqvakKefL4,,,,,,,anonymous,EN,,Unity,,Single-family home,,Own/mortgage,Over 10 years,2 dogs,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a month,I never interact with free-roaming cats in my neighborhood.,Doesn’t bother me. I worry they’ll get hit by a car or when the weather is too cold. ,,"I don’t think it would change, I don’t see many cats. ",Yes,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/4/2023 10:16,1/4/2023 10:23,IP Address,107.77.226.214,91,448,False,1/11/2023 10:23,R_3gZ2BpR3cBLicmx,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,,I am not a cat owner.,,,At least once a week,I never interact with free-roaming cats in my neighborhood.,I don’t care for the idea of free roaming cats. They are an invasive species and do not belong. I feel whatever benefits they may offer through mouse / rat control is largely eclipsed by the amount of birds and snakes they kill. ,Detrimental,"I’m not exactly sure. I might only see one or two free roaming cats per month in my neighborhood, so I’m not sure what their overall impact is, or how noticeable things would be in their absence. ",No,Yes,Trapping and taking to a shelter,Male,White,,35-44
1/4/2023 10:07,1/4/2023 10:33,IP Address,24.2.125.121,91,1550,False,1/11/2023 10:33,R_3oRCNcIc8MsfpSs,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years, I do not own any pets,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,At least once a week,Hate them! They stock my bird feeder regularly and use my mulched areas as litter box.,I've seen them carrying birds and chipmunks back to their homes.,I don't think you would notice any change unless are aware of the wildlife population before and after.,No,Yes,Trapping and taking to a shelter,Male,White,,55 or older
1/4/2023 10:51,1/4/2023 10:57,IP Address,107.122.189.87,91,330,False,1/11/2023 10:57,R_25upWfxZ4KEG5If,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,3,Yes,Yes,Yes,Rarely (once every 2-3 months),I never interact with free-roaming cats in my neighborhood.,If they are spayed or neutered they are good for the environment with rodents. ,Go after the rodents but can also can carry disease,Not really affects me,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Male,White,,35-44
1/4/2023 11:28,1/4/2023 11:36,IP Address,24.2.124.150,91,483,False,1/11/2023 11:36,R_tMy5tGv9oUiZFpn,,,,,,,anonymous,EN,15239,One not mentioned above:,Deer Valley Estates off of Oblock Rd,Single-family home,,Own/mortgage,Over 10 years,2 birds and fish,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,At least once a day,I do not approve.  I believe they should not be allowed to free roam.,They decimated my chipmunk population and kill birds,Neighbors would be happier.  We all feed the wildlife and are frustrated by free roaming cats.,Yes,Yes,Trapping and taking to a shelter,Female,White,,55 or older
1/4/2023 13:01,1/4/2023 13:10,IP Address,66.212.148.130,91,534,False,1/11/2023 13:10,R_1fddCrenbAiEZ46,,,,,,,anonymous,EN,15239,One not mentioned above:,Deer Valley Estates,Single-family home,,Own/mortgage,Over 10 years,I do not own any pets,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a day,I never interact with free-roaming cats in my neighborhood.,Not happy as they leave the stench of urine and feces in my flower garden,Not sure,Would enjoy the outdoors on my private property,Yes,Yes,Trapping and taking to a shelter,Female,White,,55 or older
1/4/2023 14:14,1/4/2023 14:25,IP Address,71.60.105.36,91,637,False,1/11/2023 14:25,R_afm9phi7vQqK6uR,,,,,,,anonymous,EN,15249,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,Used to own multiple dogs,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a week,At least once a week,I don’t appreciate it. I don’t want dead animals in my yard and I feel it is not safe for the cats who could get hit by a car or hurt in some other way.,I feel with all the cats left to roam it can hurt certain species.,I know myself and multiple neighbors would be happy to have cat owners keep their cats inside. I have bird feeders which cats sit under not to mention the cats using my mulch as their litter box. ,No,Yes,Trapping and taking to a shelter,Female,White,,55 or older
1/4/2023 15:03,1/4/2023 15:08,IP Address,71.60.100.87,91,274,False,1/11/2023 15:08,R_20U1ErCA52PC51U,,,,,,,anonymous,EN,15239,Renton Junction,,Single-family home,,Rent,1-4 years,2 cats,No,Yes,Yes,At least once a day,At least once a week,We are familiar with them and enjoy them,"They are all neutered/spayed and keep the pests (squirls, mice) away",I feel as if we would have more mice and other pests. They keep things away from eating our gardens.,No,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/4/2023 15:29,1/4/2023 15:31,IP Address,173.75.47.2,91,160,False,1/11/2023 15:32,R_3nOPJKpQNFoZiil,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,5-10 years,1 indoor cat,No,Yes,No,At least once a day,I never interact with free-roaming cats in my neighborhood.,"I'm a cat lover, but with 2 small kids, I hate the poop in our yard.",I'm sure they take care of  pesky rodents. ,Less shit to step in would make us happier. ,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/4/2023 19:16,1/4/2023 19:18,IP Address,71.60.108.142,91,141,False,1/11/2023 19:18,R_3KT6I20lyiBgrSD,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,3 cats,No,Yes,No,At least once a month,Rarely (once every 2-3 months),I worry about them getting hurt. ,They may help control populations I suppose,I'm not sure honestly,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/4/2023 19:54,1/4/2023 20:01,IP Address,71.60.109.220,91,456,False,1/11/2023 20:01,R_saKwB78d3V4e3Dj,,,,,,,anonymous,EN,15239,Unity,,Single-family home,,Own/mortgage,Over 10 years,2 cats,No,Yes,Yes,I never see free-roaming cats in my neighborhood.,I never interact with free-roaming cats in my neighborhood.,The family of cats that used to roam have died of old age. I felt sorry for them. old age. ,"They are helpful in killing moles, voles, chipmunks and squirrels.","If there are any free ranging cats removed, there would be more rodents to eat electrical wires and get into homes. ",No,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,55 or older
1/4/2023 20:30,1/4/2023 20:37,IP Address,74.109.209.250,91,398,False,1/11/2023 20:37,R_XoH3ZxlR34d9ok1,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,4 cats 1 dog,No,Yes,Yes,At least once a month,I never interact with free-roaming cats in my neighborhood.,I guess I don’t mind.  I have never thought about what impact they could have with wild life. ,I thought that the mostly cut mice and other small rodents,I’m sure I’d probably see a little bit more small rodents and wildlife roaming,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Male,White,,45-54
1/4/2023 21:31,1/4/2023 21:39,IP Address,71.60.111.157,91,469,False,1/11/2023 21:39,R_3JyeDc9nUvHI5ip,,,,,,,anonymous,EN,15239,East Oakmont,,Single-family home,,Own/mortgage,5-10 years,"1, cat",No,Yes,No,At least once a week,Rarely (once every 2-3 months),Fine. We have about 5 that I know of and they are fixed and ear-tipped. Slightly worried about them bothering it cat and we've had some sleeping in our outdoor furniture,I think all Howard should be kept indoors because of their hunting habits,No significant change. I would be upset since they don't bother us abd they are taken care of,Yes,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/4/2023 21:56,1/4/2023 22:01,IP Address,71.182.148.66,91,247,False,1/11/2023 22:01,R_3QEopz0ZekmgNbD,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Rent,Over 10 years,I do not own any pets. ,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a month,At lease once a month,I feel bad for them being outside whenever it’s cold and I hope they have a warm home to go back to. ,I’m sure they kill some birds and other animals but I am not seeing any evidence of a decline in birds or chipmunks. I think wind mills kill more birds annually than a neighborhood cat would choose to. ,I can’t say it would change very much due to the fact the very few free roaming cats I see in my neighborhood rarely cause issue for anyone around me also including myself. ,No,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,25-34
1/5/2023 19:46,1/5/2023 19:49,IP Address,173.75.2.34,91,189,False,1/12/2023 19:49,R_216c5YZfGVjlLcQ,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,1-4 years,2 cats 1 dog,No,Yes,Yes,At least once a day,Rarely (once every 2-3 months),"They’re cute and I like seeing them, but I also feel bad for them, especially during extreme weather.","I honestly have no idea, I’ve never really thought about it. ","I don’t think it would change much, but I do think it would give a better life to the cats. ",No,Yes,Trapping and taking to a shelter,Female,White,,25-34
1/5/2023 20:50,1/5/2023 20:54,IP Address,71.60.107.203,91,263,False,1/12/2023 20:54,R_1EjjEvbK2TRNIF8,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,Over 10 years,I do not own any pets,,,,At least once a month,I never interact with free-roaming cats in my neighborhood.,,,,No,Yes,Trapping and taking to a shelter,Female,White,,55 or older
1/5/2023 20:55,1/5/2023 21:00,IP Address,108.39.231.232,91,321,False,1/12/2023 21:01,R_Thom9ZkdZx3YJ3z,,,,,,,anonymous,EN,15239,Renton Junction,,Single-family home,,Own/mortgage,Over 10 years,I do not own pets,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,Rarely (once every 2-3 months),I never interact with free-roaming cats in my neighborhood.,Not a problem ,None,Probably more rodent problems ,No,No,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,55 or older
1/6/2023 7:04,1/6/2023 7:16,IP Address,108.32.50.118,91,719,False,1/13/2023 7:16,R_wSjzqqDti6vYMyR,,,,,,,anonymous,EN,15239,One not mentioned above:,Rustic Ridge,Single-family home,,Own/mortgage,1-4 years,1 cat,No,Yes,Yes,At least once a week,At least once a week,As long as they are spayed or neutered I don’t have an issue. I personally had indoor out cats in the past growing up. We always kept them up to date on vaccinations and spayed and neutered them.  I keep my current pet in because I don’t trust others to not harm her. My cats were also not much into hunting. ,I can honestly say I have no idea what their effect on wildlife is in the grand scheme of things. ,I don’t really imagine a lot would change. We have a huge wildlife population in my area. ,No,Yes,"Trapping, sterilizing, vaccinating, returning to original location",Female,White,,35-44
1/6/2023 21:06,1/6/2023 21:13,IP Address,67.186.17.131,91,435,False,1/13/2023 21:13,R_1eyNnyazbdtW9Ly,,,,,,,anonymous,EN,,Regency Park,,Townhouse,,Rent,1-4 years,2,No,Yes,No,I never see free-roaming cats in my neighborhood.,Rarely (once every 2-3 months),If they were in my neighborhood - I would feel bad for them as an animal lover but overall I would be concerned for their wellbeing & the neighborhood ,"I always thought it was a good thing, keep the populations of rodents at bay but knowing that song birds are dying I know it is an issue",Personally I don’t see them so I don’t see it being an issue,No,Yes,Trapping and taking to a shelter,Female,White,,25-34
1/8/2023 11:36,1/8/2023 11:40,IP Address,72.77.36.123,91,231,False,1/15/2023 11:40,R_1luVjp2WbXVcSm8,,,,,,,anonymous,EN,15239,Holiday Park,,Single-family home,,Own/mortgage,5-10 years,"2 cats, 1 dog ",No,Yes,Yes,At least once a month,I never interact with free-roaming cats in my neighborhood.,"We barely have any, so I don’t mind them. ","They can be a threat to some wildlife, such as birds. ",Not sure ,Yes,Yes,Trapping and taking to a shelter,Female,White,,25-34
1/20/2023 11:48,1/20/2023 11:51,IP Address,98.239.244.44,91,171,False,1/27/2023 11:51,R_1LjItlJRZhoLqv8,,,,,,,qr,EN,15068,One not mentioned above:,,Townhouse,,Rent,Less than one year,I do not own any lets,I am not a cat owner.,I am not a cat owner.,I am not a cat owner.,At least once a week,I never interact with free-roaming cats in my neighborhood.,I don’t care,I don’t know,doesn’t matter,No,Yes,Trapping and taking to a shelter,Female,White,,18-24
